theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
Data Center Capex,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,6,159,0.03773584905660377,6,1,True,354.1099853515625,9.56034612586507,60.827503465764664,46.25995805991596,51.02374354151928,-7.169852092089435,-1.7834423478575556,overheated,90.9090909090909,95.45454545454545,95.45454545454545,68.18181818181817,81.81818181818183,90.9090909090909,90.9090909090909,59.09090909090909,90.9090909090909,63.63636363636363,88.4090909090909,73.63636363636363,82.72727272727275,86.81818181818181,57.09090909090911,Watch Only: Price Extended
Data Center Capex,META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,75.84375,very_high,sustained_narrative,1.6543191308920964,13,307,0.04234527687296417,14,3,True,602.135009765625,-10.308489635870133,5.080972608634515,-12.873998133729591,-4.722787315610865,54.82069028642944,-23.601372349935133,neutral,100.0,100.0,100.0,38.63636363636363,100.0,4.545454545454546,4.545454545454546,100.0,4.545454545454546,22.727272727272727,87.72727272727272,50.90909090909091,42.72727272727273,7.7272727272727275,56.954545454545446,Watch Only
Data Center Capex,ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,75.84375,very_high,sustained_narrative,1.6543191308920964,5,126,0.03968253968253968,5,1,True,183.22999572753906,10.406114916256403,26.336372183140668,18.87886497153697,16.532612258895288,-28.51463292106563,-43.75295681795145,confirming,95.45454545454545,90.9090909090909,90.9090909090909,38.63636363636363,81.81818181818183,54.54545454545454,54.54545454545454,22.727272727272727,54.54545454545454,9.090909090909092,82.04545454545453,49.09090909090909,53.63636363636363,26.818181818181817,53.136363636363626,Watch Only
Data Center Capex,NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,1,170,0.0058823529411764705,1,1,True,197.4600067138672,-7.369700985139271,11.157401144065604,9.499115003212854,1.353641219820224,-12.682142186040279,-8.840770898169337,neutral,72.72727272727273,75.0,75.0,68.18181818181817,81.81818181818183,18.181818181818183,18.181818181818183,45.45454545454545,18.181818181818183,36.36363636363637,72.8409090909091,69.54545454545453,36.36363636363637,17.272727272727273,52.159090909090914,Watch Only
Data Center Capex,MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,75.84375,very_high,sustained_narrative,1.6543191308920964,1,85,0.011764705882352941,1,1,True,645.0,27.902593561407784,70.74332468388585,53.841058653024554,60.93956475964046,-10.191436362039541,0.0,overheated,81.81818181818183,75.0,75.0,68.18181818181817,81.81818181818183,95.45454545454545,95.45454545454545,54.54545454545454,95.45454545454545,86.36363636363636,76.02272727272728,69.54545454545453,84.54545454545453,94.54545454545455,50.02272727272728,Watch Only: Price Extended
Data Center Capex,SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing,pure_play,1.0,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,27.795000076293945,2.000000279977776,26.05442647624896,-6.319514645023904,16.25066655200358,-26.049013943284628,-54.21676742636805,confirming,36.36363636363637,36.36363636363637,36.36363636363637,93.18181818181817,36.36363636363637,50.0,50.0,31.818181818181817,50.0,4.545454545454546,47.727272727272734,81.81818181818181,43.63636363636363,23.636363636363637,45.72727272727273,Watch Only
Data Center Capex,GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,75.84375,very_high,sustained_narrative,1.6543191308920964,2,122,0.01639344262295082,2,1,True,383.7900085449219,10.443167926596232,28.93569973229708,12.72684361403018,19.1319398080517,44.14456028585816,0.0,extended,86.36363636363636,84.0909090909091,84.0909090909091,38.63636363636363,81.81818181818183,59.09090909090909,59.09090909090909,95.45454545454545,59.09090909090909,86.36363636363636,75.79545454545453,47.72727272727273,70.9090909090909,78.18181818181819,44.34090909090908,Watch Only
Data Center Capex,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,adopter,0.55,75.84375,very_high,sustained_narrative,1.6543191308920964,2,247,0.008097165991902834,2,2,True,275.25,5.987673108221658,29.352887205498867,15.350769270120601,19.549127281253487,29.109829327800018,0.0,extended,77.27272727272727,84.0909090909091,84.0909090909091,38.63636363636363,95.45454545454545,68.18181818181817,68.18181818181817,81.81818181818183,68.18181818181817,86.36363636363636,72.61363636363635,47.72727272727273,76.36363636363636,82.27272727272727,43.61363636363636,Watch Only
Data Center Capex,ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,pure_play,1.0,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,174.03500366210938,5.2907076841839595,37.84950785117574,24.854727329193025,28.045747926930357,-11.826757561643442,-2.078991815818265,overheated,36.36363636363637,36.36363636363637,36.36363636363637,93.18181818181817,36.36363636363637,81.81818181818183,81.81818181818183,50.0,81.81818181818183,54.54545454545454,47.727272727272734,81.81818181818181,66.36363636363637,80.45454545454545,40.04545454545455,Watch Only: Price Extended
Data Center Capex,VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,pure_play,1.0,75.84375,very_high,sustained_narrative,1.6543191308920964,0,0,0.0,0,0,True,336.94000244140625,10.461267347411862,30.228418866805097,77.23912718055368,20.424658942559716,-19.487235740287446,0.0,extended,36.36363636363637,36.36363636363637,36.36363636363637,93.18181818181817,36.36363636363637,72.72727272727273,72.72727272727273,40.909090909090914,72.72727272727273,86.36363636363636,47.727272727272734,81.81818181818181,59.0909090909091,84.31818181818183,37.45454545454545,Watch Only
